Watching for file changes with StatReloader
[03/Apr/2026 19:44:11] "GET /api/tasks/projects/ HTTP/1.1" 200 52
[03/Apr/2026 19:44:11] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:44:12] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:44:12] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:44:12] "GET /api/roles/roles/ HTTP/1.1" 200 2063
[03/Apr/2026 19:44:12] "GET /api/roles/roles/ HTTP/1.1" 200 2063
[03/Apr/2026 19:44:51] "POST /api/accounts/users/ HTTP/1.1" 201 114
[03/Apr/2026 19:44:51] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:46:35] "GET /api/accounts/me/ HTTP/1.1" 200 585
[03/Apr/2026 19:46:35] "GET /api/accounts/me/ HTTP/1.1" 200 585
[03/Apr/2026 19:46:52] "POST /api/accounts/login/ HTTP/1.1" 200 3097
[03/Apr/2026 19:46:52] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:46:52] "GET /api/requests/ HTTP/1.1" 200 441
[03/Apr/2026 19:46:52] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:46:52] "GET /api/audit-logs/ HTTP/1.1" 200 3437
[03/Apr/2026 19:46:52] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:46:52] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:46:52] "GET /api/audit-logs/ HTTP/1.1" 200 3437
[03/Apr/2026 19:46:52] "GET /api/requests/ HTTP/1.1" 200 441
[03/Apr/2026 19:46:52] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:46:52] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:46:59] "GET /api/requests/ HTTP/1.1" 200 441
[03/Apr/2026 19:46:59] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:46:59] "GET /api/requests/ HTTP/1.1" 200 441
[03/Apr/2026 19:46:59] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:47:00] "GET /api/requests/1/ HTTP/1.1" 200 389
[03/Apr/2026 19:47:00] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:47:00] "GET /api/requests/1/ HTTP/1.1" 200 389
[03/Apr/2026 19:47:00] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:47:02] "OPTIONS /api/requests/1/workflow/ HTTP/1.1" 200 0
[03/Apr/2026 19:47:02] "POST /api/requests/1/workflow/ HTTP/1.1" 201 224
[03/Apr/2026 19:47:02] "GET /api/requests/1/ HTTP/1.1" 200 614
[03/Apr/2026 19:47:31] "POST /api/requests/1/workflow/ HTTP/1.1" 201 231
[03/Apr/2026 19:47:31] "GET /api/requests/1/ HTTP/1.1" 200 846
[03/Apr/2026 19:47:35] "POST /api/requests/1/workflow/ HTTP/1.1" 201 224
[03/Apr/2026 19:47:35] "GET /api/requests/1/ HTTP/1.1" 200 1071
[03/Apr/2026 19:47:37] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:47:37] "GET /api/audit-logs/ HTTP/1.1" 200 4281
[03/Apr/2026 19:47:37] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:47:37] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:47:37] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:47:37] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:47:37] "GET /api/audit-logs/ HTTP/1.1" 200 4281
[03/Apr/2026 19:47:37] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:48:03] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:48:03] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:48:03] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:48:03] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:48:05] "GET /api/tasks/projects/ HTTP/1.1" 200 52
[03/Apr/2026 19:48:05] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:48:05] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:48:05] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:48:05] "GET /api/tasks/projects/ HTTP/1.1" 200 52
[03/Apr/2026 19:48:05] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:48:35] "POST /api/tasks/projects/ HTTP/1.1" 201 223
[03/Apr/2026 19:48:35] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:48:51] "POST /api/tasks/tasks/ HTTP/1.1" 201 317
[03/Apr/2026 19:48:51] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:48:57] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:48:57] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:48:57] "GET /api/notifications/ HTTP/1.1" 200 375
[03/Apr/2026 19:48:57] "GET /api/audit-logs/ HTTP/1.1" 200 4865
[03/Apr/2026 19:48:57] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:48:57] "GET /api/notifications/ HTTP/1.1" 200 375
[03/Apr/2026 19:48:57] "GET /api/audit-logs/ HTTP/1.1" 200 4865
[03/Apr/2026 19:48:57] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:49:07] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:49:07] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:49:07] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:49:07] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:49:08] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:49:08] "GET /api/audit-logs/ HTTP/1.1" 200 4865
[03/Apr/2026 19:49:08] "GET /api/notifications/ HTTP/1.1" 200 375
[03/Apr/2026 19:49:08] "GET /api/notifications/ HTTP/1.1" 200 375
[03/Apr/2026 19:49:08] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:49:08] "GET /api/audit-logs/ HTTP/1.1" 200 4865
[03/Apr/2026 19:49:08] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:49:08] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:49:35] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:49:35] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:49:35] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:49:35] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:49:35] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:49:35] "GET /api/accounts/users/ HTTP/1.1" 200 2858
Bad Request: /api/accounts/signup/
[03/Apr/2026 19:49:45] "POST /api/accounts/signup/ HTTP/1.1" 400 111
[03/Apr/2026 19:49:49] "GET /api/notifications/ HTTP/1.1" 200 375
[03/Apr/2026 19:49:49] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:49:49] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:49:49] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:49:49] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:49:49] "GET /api/notifications/ HTTP/1.1" 200 375
[03/Apr/2026 19:49:49] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:49:49] "GET /api/accounts/users/ HTTP/1.1" 200 2858
C:\Users\ADMIN\Desktop\StartupOS\accounts\serializers.py changed, reloading.
Watching for file changes with StatReloader
[03/Apr/2026 19:55:44] "GET /api/accounts/me/ HTTP/1.1" 200 2424
[03/Apr/2026 19:55:44] "GET /api/accounts/me/ HTTP/1.1" 200 2424
